search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url,was_franchise,former_brand,franchise_confidence,franchise_evidence,property_match_found,property_match_confidence,property_record_source,property_record_address,property_record_owner_hint,property_record_match_score,property_record_evidence
"Orlando International Drive, Florida",3.0,Orlando Inn International Drive Area,"5900 American Way, Orlando, FL 32819, USA",3.3,13,OPERATIONAL,9,Low rating: 3.3 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: rude | Negative review signal: unsafe | Negative review signal: stained | Complaint rate increase: 1.2,2,5,0,100.0,1.8,0.0,1.8,1.2,0.0,1.2,,,0.2,False,0,https://maps.google.com/?cid=17291968103926665780&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5900 american way orlando fl 32819 usa,,100,Prototype property match generated from normalized address for 'orlando inn international drive area'
"Orlando International Drive, Florida",3.0,"Motel 6 Orlando, FL - International Dr","5909 American Way, Orlando, FL 32819, USA",3.5,3643,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 3643 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: cockroach | Negative review signal: refund | Complaint rate increase: 1.4,2,5,0,100.0,3.2,0.0,3.2,1.4,0.0,1.4,,,0.2,False,0,https://maps.google.com/?cid=3342990123999511624&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5909 american way orlando fl 32819 usa,,100,Prototype property match generated from normalized address for 'motel 6 orlando fl - international dr'
"South Beach, Miami Beach, Florida",2.0,Hotel Chelsea,"944 Washington Ave, Miami Beach, FL 33139, USA",4.3,2191,OPERATIONAL,8,Negative review signal: smell | Negative review signal: mold | Rating decline: -0.75 | Complaint rate increase: 0.5 | Renovation signals in reviews: 60.0%,4,4,1,300.0,4.25,5.0,-0.75,0.5,0.0,0.5,,,0.6,True,2,https://maps.google.com/?cid=2132610243037929707&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,944 washington ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'hotel chelsea'
"South Beach, Miami Beach, Florida",2.0,The Kent Hotel,"1131 Collins Ave, Miami Beach, FL 33139, USA",4,804,OPERATIONAL,8,Negative review signal: smell | Negative review signal: noise | Review volume decline: -33.33% | Rating decline: -0.5 | Complaint rate increase: 0.67,6,2,3,-33.33,3.5,4.0,-0.5,1.0,0.33,0.67,,,0.2,False,0,https://maps.google.com/?cid=16420776550411770845&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1131 collins ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'the kent hotel'
"Downtown Miami, Florida",3.0,"Hotel Beaux Arts, Autograph Collection","Located Inside Of The Jw Marriott Marquis Miami Tower, 255 Biscayne Blvd Way, Miami, FL 33131, USA",4.4,223,OPERATIONAL,8,Negative review signal: worst | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=1128660527434867917&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,located inside of the jw marriott marquis miami tower 255 biscayne blvd way miami fl 33131 usa,,100,Prototype property match generated from normalized address for 'hotel beaux arts autograph collection'
"Brickell, Miami, Florida",2.0,La Mare Hotel and Residence,"1451 S Miami Ave, Miami, FL 33130, USA",3,2,OPERATIONAL,8,Low rating: 3 | Negative review signal: smell | Negative review signal: noise | Complaint rate increase: 2.0 | Renovation signals in reviews: 50.0%,2,1,0,100.0,1.0,0.0,1.0,2.0,0.0,2.0,,,0.5,True,2,https://maps.google.com/?cid=17483190104859943782&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1451 s miami ave miami fl 33130 usa,,100,Prototype property match generated from normalized address for 'la mare hotel and residence'
"Miami International Airport, Florida",3.0,Tru by Hilton Miami Airport South Blue Lagoon,"5560 Waterford District Dr, Miami, FL 33126, USA",4.1,525,OPERATIONAL,8,Negative review signal: dirty | Negative review signal: refund | Rating decline: -2.5 | Complaint rate increase: 0.5 | Renovation signals in reviews: 60.0%,4,4,1,300.0,2.5,5.0,-2.5,0.5,0.0,0.5,,,0.6,True,2,https://maps.google.com/?cid=11577357549477958621&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5560 waterford district dr miami fl 33126 usa,,100,Prototype property match generated from normalized address for 'tru by hilton miami airport south blue lagoon'
"Miami International Airport, Florida",3.0,Sleep Inn Miami Airport,"105 Fairway Dr, Miami Springs, FL 33166, USA",3.5,2479,OPERATIONAL,8,Moderate-to-low rating with enough reviews: 2479 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: disappointing | Complaint rate increase: 1.0 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.0,0.0,3.0,1.0,0.0,1.0,,,0.4,True,2,https://maps.google.com/?cid=9242900432781386251&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,105 fairway dr miami springs fl 33166 usa,,100,Prototype property match generated from normalized address for 'sleep inn miami airport'
"Miami International Airport, Florida",3.0,Comfort Suites Miami Airport North,"657 Minola Dr, Miami Springs, FL 33166, USA",3.9,2534,OPERATIONAL,8,Moderate-to-low rating with enough reviews: 2534 | Negative review signal: filthy | Negative review signal: smell | Negative review signal: cockroach | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=9442010565865043997&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,657 minola dr miami springs fl 33166 usa,,100,Prototype property match generated from normalized address for 'comfort suites miami airport north'
"West Palm Beach, Florida",4.0,West Palm Beach Marriott,"1001 Okeechobee Blvd, West Palm Beach, FL 33401, USA",4.2,1789,OPERATIONAL,8,Negative review signal: dirty | Negative review signal: rude | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.4,0.0,3.4,0.6,0.0,0.6,,,0.8,True,2,https://maps.google.com/?cid=15251747433384022274&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1001 okeechobee blvd west palm beach fl 33401 usa,,100,Prototype property match generated from normalized address for 'west palm beach marriott'
"Key West, Florida",3.0,"Casa Marina Key West, Curio Collection by Hilton","1500 Reynolds St, Key West, FL 33040, USA",3.7,4458,OPERATIONAL,8,Moderate-to-low rating with enough reviews: 4458 | Negative review signal: mold | Negative review signal: rude | Negative review signal: disappointing | Complaint rate increase: 1.0 | Renovation signals in reviews: 100.0%,2,5,0,100.0,4.8,0.0,4.8,1.0,0.0,1.0,,,1.0,True,2,https://maps.google.com/?cid=5877708265294663205&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1500 reynolds st key west fl 33040 usa,,100,Prototype property match generated from normalized address for 'casa marina key west curio collection by hilton'
"Orlando International Drive, Florida",3.0,Cambria Hotel Orlando Universal Blvd,"6801 Visitors Cir, Orlando, FL 32819, USA",4.5,1998,OPERATIONAL,8,Negative review signal: smell | Negative review signal: noise | Operational distress signal: closed | Complaint rate increase: 1.0 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.6,0.0,3.6,1.0,0.0,1.0,,,0.4,True,2,https://maps.google.com/?cid=9952511325429446789&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,6801 visitors cir orlando fl 32819 usa,,100,Prototype property match generated from normalized address for 'cambria hotel orlando universal blvd'
"Mid-Beach, Miami Beach, Florida",2.0,"Hotel Continental Miami Beach, Tapestry Collection by Hilton","4000 Collins Ave, Miami Beach, FL 33140, USA",4.2,720,OPERATIONAL,7,Negative review signal: leak | Negative review signal: broken | Negative review signal: noise | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,4.2,0.0,4.2,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=14974509022598601709&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4000 collins ave miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'hotel continental miami beach tapestry collection by hilton'
"Mid-Beach, Miami Beach, Florida",2.0,Sorrento Tower,"Miami Beach Boardwalk, Miami Beach, FL 33140, USA",4.3,75,OPERATIONAL,7,Negative review signal: broken | Negative review signal: rude | Negative review signal: disappointing | Complaint rate increase: 3.0 | Renovation signals in reviews: 300.0%,2,1,0,100.0,1.0,0.0,1.0,3.0,0.0,3.0,,,3.0,True,2,https://maps.google.com/?cid=5507356121727872017&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,miami beach boardwalk miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'sorrento tower'
"Downtown Miami, Florida",3.0,JW Marriott Marquis Miami,"255 Biscayne Blvd Way, Miami, FL 33131, USA",4.4,2684,OPERATIONAL,7,Negative review signal: mold | Negative review signal: worst | Negative review signal: disappointing | Complaint rate increase: 0.8 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.2,0.0,3.2,0.8,0.0,0.8,,,0.6,True,2,https://maps.google.com/?cid=4766785321021611421&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,255 biscayne blvd way miami fl 33131 usa,,100,Prototype property match generated from normalized address for 'jw marriott marquis miami'
"Brickell, Miami, Florida",2.0,"Dua Miami, Autograph Collection","1300 S Miami Ave, Miami, FL 33130, USA",4.4,1870,OPERATIONAL,7,Negative review signal: filthy | Negative review signal: smell | Negative review signal: broken | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,4.2,0.0,4.2,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=9884043752035724113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1300 s miami ave miami fl 33130 usa,,100,Prototype property match generated from normalized address for 'dua miami autograph collection'
"Brickell, Miami, Florida",2.0,"Brickell Arch, a Luxury Collection Hotel, Miami","1395 Brickell Ave, Miami, FL 33131, USA",4.3,2456,OPERATIONAL,7,Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.8,True,2,https://maps.google.com/?cid=14979633365157170012&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1395 brickell ave miami fl 33131 usa,,100,Prototype property match generated from normalized address for 'brickell arch a luxury collection hotel miami'
"West Palm Beach, Florida",4.0,The Lofts On Clematis | Stay West Palm,"208 Clematis St, West Palm Beach, FL 33401, USA",3.7,40,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 40 | Negative review signal: smell | Negative review signal: noise | Review volume decline: -33.33% | Complaint rate increase: 1.0,4,2,3,-33.33,5.0,5.0,0.0,1.0,0.0,1.0,,,0.0,False,0,https://maps.google.com/?cid=4152169464598314371&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,208 clematis st west palm beach fl 33401 usa,,100,Prototype property match generated from normalized address for 'the lofts on clematis | stay west palm'
"Orlando International Drive, Florida",3.0,Universal Endless Summer Resort – Surfside Inn and Suites,"7000 Universal Blvd, Orlando, FL 32819, USA",4.6,8615,OPERATIONAL,7,Negative review signal: leak | Negative review signal: worst | Negative review signal: noise | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,4.0,0.0,4.0,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=17680368040271103433&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,7000 universal blvd orlando fl 32819 usa,,100,Prototype property match generated from normalized address for 'universal endless summer resort – surfside inn and suites'
