search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,google_maps_url,was_franchise,former_brand,franchise_confidence,franchise_evidence,owner_name,owner_company,mailing_address,owner_phone,owner_confidence,owner_evidence,year_built,is_older_than_20_years,ownership_since,ownership_length_years
"Miami International Airport, Florida",3.0,Clarion Inn & Suites Miami International Airport,"5301 NW 36th St, Miami Springs, FL 33166, USA",3.3,4717,OPERATIONAL,8,Low rating: 3.3 | Moderate-to-low rating with enough reviews: 4717 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: refund | Operational distress signal: run down,https://maps.google.com/?cid=14300043739092299284&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,,,,Low,ATTOM lookup failed: 400 Client Error: Bad Request for url: https://api.gateway.attomdata.com/propertyapi/v1.0.0/property/detailowner?address1=5301+NW+36th+St&address2=Miami+Springs%2C+FL+33166,,,,
"Orlando International Drive, Florida",3.0,Super 8 by Wyndham Orlando International Drive,"5900 American Way, Orlando, FL 32819, USA",3.1,1938,OPERATIONAL,8,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 1938 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: unsafe,https://maps.google.com/?cid=7160547498519547018&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,DONGXIANG INVESTMENT GROUP LLC,DONGXIANG INVESTMENT GROUP LLC,"8566 NW 19TH DR, CORAL SPRINGS, FL 33071-6151",,High,Retrieved from ATTOM property records,1984,Yes,,
"South Beach, Miami Beach, Florida",2.0,Kenmore Village Hotel,"1050 Washington Ave, Miami Beach, FL 33139, USA",3.8,725,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 725 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: rude | Negative review signal: unhygienic | Negative review signal: disappointing,https://maps.google.com/?cid=5038470675610533493&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,WPH PROPERTIES LLC,WPH PROPERTIES LLC,"8701 WILSHIRE BLVD, BEVERLY HILLS, CA 90211-2701",,High,Retrieved from ATTOM property records,1936,Yes,,
"South Beach, Miami Beach, Florida",2.0,The Miami Beach,"1018 Meridian Ave, Miami Beach, FL 33139, USA",4.2,1353,OPERATIONAL,7,Negative review signal: smell | Negative review signal: rude | Negative review signal: refund | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: no staff,https://maps.google.com/?cid=11597227605138810122&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,VINCENZO PERRETTA,,"1018 MERIDIAN AVE, MIAMI BEACH, FL 33139-8316",,High,Retrieved from ATTOM property records,1925,Yes,,
"Mid-Beach, Miami Beach, Florida",2.0,Lexington by Hotel RL Miami Beach,"4299 Collins Ave, Miami Beach, FL 33140, USA",3.4,2593,OPERATIONAL,7,Low rating: 3.4 | Moderate-to-low rating with enough reviews: 2593 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: worst | Negative review signal: refund,https://maps.google.com/?cid=14622746125607560830&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,,"4333 COLLINS AVE, MIAMI BEACH, FL 33140-3212",,Low,Owner data unavailable,1950,Yes,,
"Mid-Beach, Miami Beach, Florida",2.0,Trésor Tower,"4401 Collins Ave, Miami Beach, FL 33140, USA",4.2,195,OPERATIONAL,7,Negative review signal: dirty | Negative review signal: filthy | Negative review signal: leak | Negative review signal: broken | Negative review signal: disappointing | Operational distress signal: closed,https://maps.google.com/?cid=4661875372813949854&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,,"4441 COLLINS AVE, MIAMI BEACH, FL 33140-3227",,Low,Owner data unavailable,2005,Yes,,
"Miami International Airport, Florida",3.0,Hilton Miami Airport Blue Lagoon,"5101 Waterford District Dr, Miami, FL 33126, USA",3.9,7085,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 7085 | Negative review signal: smell | Negative review signal: broken | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed,https://maps.google.com/?cid=16753740022523085656&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,M2 MIAMI AIRPORT BLUE LAGOON LLC,M2 MIAMI AIRPORT BLUE LAGOON LLC,"1503 LYNDON B JOHNSON FWY, DALLAS, TX 75234-6011",,High,Retrieved from ATTOM property records,1983,Yes,,
"Orlando International Drive, Florida",3.0,Orlando Inn International Drive Area,"5900 American Way, Orlando, FL 32819, USA",3.3,13,OPERATIONAL,7,Low rating: 3.3 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: rude | Negative review signal: unsafe | Negative review signal: stained,https://maps.google.com/?cid=17291968103926665780&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,DONGXIANG INVESTMENT GROUP LLC,DONGXIANG INVESTMENT GROUP LLC,"8566 NW 19TH DR, CORAL SPRINGS, FL 33071-6151",,High,Retrieved from ATTOM property records,1984,Yes,,
"Orlando International Drive, Florida",3.0,SureStay Plus By Best Western Orlando International Drive,"5859 American Way, Orlando, FL 32819, USA",3.6,2105,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 2105 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: unsafe | Negative review signal: refund | Negative review signal: disappointing,https://maps.google.com/?cid=2708707322529837040&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,MM INTERNATIONAL FAMILY RESORT LLC,MM INTERNATIONAL FAMILY RESORT LLC,"8367 VIA ROSA, ORLANDO, FL 32836-8788",,High,Retrieved from ATTOM property records,1983,Yes,,
"Orlando International Drive, Florida",3.0,"Motel 6 Orlando, FL - International Dr","5909 American Way, Orlando, FL 32819, USA",3.5,3643,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 3643 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: cockroach | Negative review signal: refund,https://maps.google.com/?cid=3342990123999511624&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,HARE KRISHNA UNIVERSAL LLC,HARE KRISHNA UNIVERSAL LLC,"2030 AVALON PKWY, MCDONOUGH, GA 30253-3096",,High,Retrieved from ATTOM property records,2002,Yes,,
"Kissimmee, Florida",3.0,Flamingo Inn,"801 E Vine St, Kissimmee, FL 34744, USA",3,213,OPERATIONAL,7,Low rating: 3 | Moderate-to-low rating with enough reviews: 213 | Negative review signal: dirty | Negative review signal: worst | Negative review signal: unsafe | Negative review signal: cockroach,https://maps.google.com/?cid=2949369907576545270&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,H PATEL H H MANUBHAI,,"3038 CRESTED CIR, ORLANDO, FL 32837-6956",,High,Retrieved from ATTOM property records,1980,Yes,,
"Kissimmee, Florida",3.0,Westmont Hospitality Group,"102 Park Pl Blvd, Kissimmee, FL 34741, USA",2.4,119,OPERATIONAL,7,Low rating: 2.4 | Moderate-to-low rating with enough reviews: 119 | Negative review signal: filthy | Negative review signal: smell | Negative review signal: mold | Negative review signal: stained,https://maps.google.com/?cid=3952858235686797460&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,FOUNTAIN SQUARE BDW LLC,FOUNTAIN SQUARE BDW LLC,"101 PARK PLACE BLVD, KISSIMMEE, FL 34741-2365",,High,Retrieved from ATTOM property records,1989,Yes,,
