search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url
"Orlando International Drive, Florida",3.0,Homewood Suites by Hilton Orlando-Nearest to Univ Studios,"5893 American Way, Orlando, FL 32819, USA",4.3,1270,OPERATIONAL,2,Renovation signals in reviews: 40.0%,0,5,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.4,True,2,https://maps.google.com/?cid=4872442072645667084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,Iberostar Waves Berkeley Shore,"1610 Collins Ave, Miami Beach, FL 33139, USA",4,1252,OPERATIONAL,1,Negative review signal: noise,0,5,0,100.0,5.0,0.0,5.0,0.2,0.0,0.2,,,0.0,False,0,https://maps.google.com/?cid=17303855701103248538&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,Greenview by Lowkl,"1671 Washington Ave, Miami Beach, FL 33139, USA",3.8,1538,OPERATIONAL,1,Moderate-to-low rating with enough reviews: 1538,0,4,1,300.0,4.25,4.0,0.25,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=1763980549650374758&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,Ocean Reef Suites,"1130 Collins Ave, Miami Beach, FL 33139, USA",4.2,934,OPERATIONAL,1,Negative review signal: disappointing,0,5,0,100.0,4.6,0.0,4.6,0.2,0.0,0.2,,,0.0,False,0,https://maps.google.com/?cid=10660176716270518605&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,The Stiles Hotel,"1120 Collins Ave, Miami Beach, FL 33139, USA",3.8,492,OPERATIONAL,1,Moderate-to-low rating with enough reviews: 492,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=8946876312778809518&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,Kasa Impala Miami Beach,"1228 Collins Ave, Miami Beach, FL 33139, USA",4.5,96,OPERATIONAL,1,Negative review signal: noise,0,4,1,300.0,4.75,4.0,0.75,0.25,0.0,0.25,,,0.0,False,0,https://maps.google.com/?cid=6247674863038378076&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Le Particulier Miami,"4130 Collins Ave, Miami Beach, FL 33140, USA",4.5,79,OPERATIONAL,1,Negative review signal: noise,0,5,0,100.0,4.8,0.0,4.8,0.2,0.0,0.2,,,0.2,False,0,https://maps.google.com/?cid=14820775489920150493&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Hotel Alamo,"4121 Indian Creek Dr, Miami Beach, FL 33140, USA",4.6,203,OPERATIONAL,1,Negative review signal: broken,0,5,0,100.0,4.6,0.0,4.6,0.2,0.0,0.2,,,0.0,False,0,https://maps.google.com/?cid=13718385630830682925&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,YOTEL Miami,"227 NE 2nd St, Miami, FL 33132, USA",3.7,1484,OPERATIONAL,1,Moderate-to-low rating with enough reviews: 1484,0,5,0,100.0,4.6,0.0,4.6,0.0,0.0,0.0,,,0.2,False,0,https://maps.google.com/?cid=13823410434814170130&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,B&B HOTEL Miami Airport,"5125 NW 36th St, Miami Springs, FL 33166, USA",4.2,304,OPERATIONAL,1,Negative review signal: smell,0,5,0,100.0,4.8,0.0,4.8,0.2,0.0,0.2,,,0.2,False,0,https://maps.google.com/?cid=5868135450745893875&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,Wyndham Garden Orlando Universal / I Drive,"5855 American Way, Orlando, FL 32819, USA",4.4,934,OPERATIONAL,1,Negative review signal: smell,0,5,0,100.0,5.0,0.0,5.0,0.4,0.0,0.4,,,0.0,False,0,https://maps.google.com/?cid=3080147850702071452&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,The Panama Extended Stays,"1620 W Vine St, Kissimmee, FL 34741, USA",3.9,43,OPERATIONAL,1,Moderate-to-low rating with enough reviews: 43,0,4,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=13418913350381094753&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,lowes hotel,"Miami Beach, FL 33139, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=15767326708394182084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,فلوريدا,"Miami Beach, FL 33139, USA",5,1,OPERATIONAL,0,,0,1,0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=17430622182278224713&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,Dolce by Wyndham Miami Beach,"1475 James Ave, Miami Beach, FL 33139, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=16545133980709974100&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,Hotel Holiday Inn,"Miami Beach, FL 33139, USA",4.2,5,OPERATIONAL,0,,0,1,1,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=6542170397521354401&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,Generator,"305 Lincoln Rd, Miami Beach, FL 33139, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=15846666744659020731&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,"Dreamers Resorts, LLP","Lincoln Building, 350 Lincoln Rd #2nd, Miami Beach, FL 33139, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=13258061179022310741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,Delano Miami Beach,"1685 Collins Ave, Miami Beach, FL 33139, USA",4.4,15,OPERATIONAL,0,,0,5,0,100.0,4.4,0.0,4.4,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=8927265172783072688&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami Beach, Florida",3.0,"Hotel Venezia, Indian Creek,3865","1650 Washington Ave, Miami Beach, FL 33139, USA",,,OPERATIONAL,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,https://maps.google.com/?cid=9820636470944393741&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
